Species,Total_Occurrences,VCM_Occurrences,Non_VCM_Occurrences,Percent_in_VCM,VCM_Frequency,Non_VCM_Frequency,Frequency_Ratio,p_value,Preference,adjusted_p_value,significant,VCM_Preference_Strength,abs_preference
species_Pheucticus melanocephalus,120,33,87,27.500000000000004,2.3321554770318023,1.2698876076485184,1.8365054222005608,0.004881105694265685,VCM,0.007053985003325893,True,10.381684006774744,10.381684006774744
species_Prunella vulgaris,203,55,148,27.093596059113302,3.8869257950530036,2.160268573930813,1.7992789609397384,0.00036326889043057013,VCM,0.0006027572700477608,True,9.975280065888043,9.975280065888043
species_Sceloporus occidentalis,377,102,275,27.055702917771885,7.208480565371024,4.014012552911984,1.7958291037584322,1.4175195052558356e-06,VCM,3.825594809365147e-06,True,9.937386924546626,9.937386924546626
species_Asclepias speciosa,88,23,65,26.136363636363637,1.6254416961130742,0.9487666034155597,1.7132155477031803,0.0326547355157149,VCM,0.044331277306182644,True,9.018047643138377,9.018047643138377
species_Viola sheltonii,100,26,74,26.0,1.8374558303886925,1.0801342869654065,1.7011364721612072,0.02349131476911618,VCM,0.03268356837442251,True,8.88168400677474,8.88168400677474
species_Hippodamia convergens,234,58,176,24.786324786324787,4.098939929328622,2.5689680338636696,1.5955589463539992,0.0030255708142972364,VCM,0.00451818574935054,True,7.668008793099528,7.668008793099528
species_Pseudacris regilla,437,108,329,24.71395881006865,7.632508833922262,4.802218654211064,1.5893713684255752,5.8489881300202204e-05,VCM,0.00011198062744654097,True,7.595642816843391,7.595642816843391
species_Odocoileus hemionus,382,86,296,22.5130890052356,6.07773851590106,4.320537147861626,1.4067090058256135,0.006508437227371005,VCM,0.009345448326481444,True,5.39477301201034,5.39477301201034
species_Iris hartwegii,325,73,252,22.46153846153846,5.159010600706713,3.678295139395708,1.4025548264064165,0.012271383766102142,VCM,0.017397404832954936,True,5.343222468313201,5.343222468313201
species_Hieracium albiflorum,157,17,140,10.828025477707007,1.2014134275618376,2.0434972996642826,0.5879202423018678,0.03411295944164161,non-VCM,0.04603194527064892,True,-6.290290515518253,6.290290515518253
species_Viola purpurea,273,29,244,10.622710622710622,2.049469964664311,3.5615238651291783,0.5754474888489833,0.0036790237377528636,non-VCM,0.005351307254913256,True,-6.495605370514637,6.495605370514637
species_Otospermophilus beecheyi,151,16,135,10.596026490066226,1.1307420494699647,1.970515253247701,0.5738306504384243,0.03074114637384702,non-VCM,0.04198790724232764,True,-6.522289503159033,6.522289503159033
species_Ursus americanus,471,47,424,9.978768577494693,3.3215547703180213,6.188877536126113,0.5366974464964331,1.677968830926925e-05,non-VCM,3.512757178762908e-05,True,-7.139547415730567,7.139547415730567
species_Rubus parviflorus,423,40,383,9.456264775413711,2.8268551236749118,5.590424755510145,0.5056601684672799,1.0145497754858793e-05,non-VCM,2.3189709153962957e-05,True,-7.662051217811548,7.662051217811548
species_Hosackia crassifolia,118,11,107,9.322033898305085,0.7773851590106008,1.5618157933148447,0.49774446022258184,0.02681954926383783,non-VCM,0.03685631309877101,True,-7.7962820949201745,7.7962820949201745
species_Sitta canadensis,185,17,168,9.18918918918919,1.2014134275618376,2.4521967595971392,0.4899335352515565,0.003218879447651761,non-VCM,0.004743611817592069,True,-7.92912680403607,7.92912680403607
species_Leuconotopicus albolarvatus,317,29,288,9.14826498422713,2.049469964664311,4.203765873595096,0.4875319002748331,7.052206362477575e-05,non-VCM,0.000133872391965676,True,-7.97005100899813,7.97005100899813
species_Piranga ludoviciana,212,19,193,8.962264150943396,1.342756183745583,2.8171069916800464,0.47664365880005133,0.0009657500935076036,non-VCM,0.00150227792323405,True,-8.156051842281864,8.156051842281864
species_Euphagus cyanocephalus,101,9,92,8.91089108910891,0.6360424028268552,1.3428696540651,0.47364418497465055,0.024754532413601267,non-VCM,0.03422848926325114,True,-8.20742490411635,8.20742490411635
species_Chimaphila umbellata,90,8,82,8.88888888888889,0.5653710247349824,1.196905561231937,0.4723605963974834,0.035706577709837914,non-VCM,0.04789385273654906,True,-8.22942710433637,8.22942710433637
species_Maianthemum racemosum,335,29,306,8.656716417910449,2.049469964664311,4.466501240694789,0.458853553199843,1.1866484793664039e-05,non-VCM,2.63177484532747e-05,True,-8.46159957531481,8.46159957531481
species_Viola lobata,267,23,244,8.614232209737828,1.6254416961130742,3.5615238651291783,0.4563893877078144,8.790908950266232e-05,non-VCM,0.00016274079379005257,True,-8.504083783487431,8.504083783487431
species_Hosackia oblongifolia,206,17,189,8.25242718446602,1.2014134275618376,2.7587213545467817,0.4354964757791613,0.00039485186148889714,non-VCM,0.0006455972041862259,True,-8.86588880875924,8.86588880875924
species_Ribes nevadense,213,17,196,7.981220657276995,1.2014134275618376,2.8608962195299954,0.4199430302156199,0.0001708122221083005,non-VCM,0.0003036661726369787,True,-9.137095335948263,9.137095335948263
species_Letharia columbiana,138,11,127,7.971014492753622,0.7773851590106008,1.8537439789811705,0.41935950585682097,0.003058380882341627,non-VCM,0.004536935878440559,True,-9.147301500471638,9.147301500471638
species_Helenium bigelovii,89,7,82,7.865168539325842,0.49469964664310956,1.196905561231937,0.41331552184779796,0.01655309244655365,non-VCM,0.02332007992470451,True,-9.253147453899416,9.253147453899416
species_Sphyrapicus ruber,141,11,130,7.801418439716312,0.7773851590106008,1.8975332068311195,0.40968197879858664,0.0023191594496679113,non-VCM,0.0035581624433261103,True,-9.316897553508948,9.316897553508948
species_Aquilegia formosa,654,50,604,7.64525993883792,3.53356890459364,8.816231207123048,0.40080265836706996,2.2245875539202724e-12,non-VCM,1.4656106237592385e-11,True,-9.473056054387339,9.473056054387339
species_Lilium kelleyanum,132,10,122,7.575757575757576,0.7067137809187279,1.7807619325645891,0.3968603371372299,0.0024326203122116453,non-VCM,0.0037068499995606026,True,-9.542558417467683,9.542558417467683
species_Erythranthe moschata,212,16,196,7.547169811320755,1.1307420494699647,2.8608962195299954,0.39524049902646574,7.645710587665105e-05,non-VCM,0.00014271993096974864,True,-9.571146181904505,9.571146181904505
species_Certhia americana,121,9,112,7.43801652892562,0.6360424028268552,1.634797839731426,0.38906486622917724,0.003445842591385305,non-VCM,0.0050448937285641066,True,-9.68029946429964,9.68029946429964
species_Apocynum androsaemifolium,286,21,265,7.3426573426573425,1.4840989399293287,3.8680484600788203,0.38368157877191816,1.9991128797076137e-06,non-VCM,5.268250412405947e-06,True,-9.775658650567916,9.775658650567916
species_Lilium washingtonianum,157,11,146,7.006369426751593,0.7773851590106008,2.1310757553641806,0.3647853235877826,0.00028820405150335445,non-VCM,0.00048539629726880747,True,-10.111946566473666,10.111946566473666
species_Cryptoporus volvatus,401,28,373,6.982543640897755,1.9787985865724382,5.444460662676982,0.3634517189439081,3.693097545978241e-09,non-VCM,1.531951574628011e-08,True,-10.135772352327503,10.135772352327503
species_Tamiasciurus douglasii,298,19,279,6.375838926174497,1.342756183745583,4.072398190045249,0.3297212406753043,7.578151668438528e-08,non-VCM,2.571978748076107e-07,True,-10.742477067050762,10.742477067050762
species_Eriogonum umbellatum,206,13,193,6.310679611650485,0.9187279151943463,2.8171069916800464,0.3261246086526667,7.018349764384642e-06,non-VCM,1.620732316723876e-05,True,-10.807636381574774,10.807636381574774
species_Ceanothus prostratus,239,15,224,6.2761506276150625,1.0600706713780919,3.269595679462852,0.32422072185764766,1.116143418176234e-06,non-VCM,3.0866188354503264e-06,True,-10.842165365610196,10.842165365610196
species_Actaea rubra,65,4,61,6.153846153846154,0.2826855123674912,0.8903809662822946,0.31748826970978394,0.01949310885181657,non-VCM,0.0272903523925432,True,-10.964469839379106,10.964469839379106
species_Chimaphila menziesii,135,8,127,5.9259259259259265,0.5653710247349824,1.8537439789811705,0.30498873153223344,0.0002096984641526668,non-VCM,0.00036132658438613354,True,-11.192390067299332,11.192390067299332
species_Poecile gambeli,237,14,223,5.9071729957805905,0.9893992932862191,3.254999270179536,0.30396298467730437,4.079707083188175e-07,non-VCM,1.1716081879925016e-06,True,-11.211142997444668,11.211142997444668
species_Fritillaria atropurpurea,70,4,66,5.714285714285714,0.2826855123674912,0.963363012698876,0.29343612806510333,0.01000258698502414,non-VCM,0.014271206908569475,True,-11.404030278939544,11.404030278939544
species_Diplacus torreyi,338,19,319,5.621301775147929,1.342756183745583,4.656254561377901,0.28837688447777393,4.5383471164065543e-10,non-VCM,2.1178953209897255e-09,True,-11.49701421807733,11.49701421807733
species_Camponotus modoc,125,7,118,5.6000000000000005,0.49469964664310956,1.722376295431324,0.28721926094507993,0.00019548774456638516,non-VCM,0.00033945158746411067,True,-11.518315993225258,11.518315993225258
species_Purshia tridentata,163,9,154,5.521472392638037,0.6360424028268552,2.247847029630711,0.2829562663484925,1.545423495544947e-05,non-VCM,3.296903457162553e-05,True,-11.596843600587222,11.596843600587222
species_Eriogonum nudum,172,9,163,5.232558139534884,0.6360424028268552,2.3792147131805574,0.26733291421882116,4.011061463664934e-06,non-VCM,9.766062694140709e-06,True,-11.885757853690375,11.885757853690375
species_Pterospora andromedea,639,33,606,5.164319248826291,2.3321554770318023,8.84542402568968,0.2636567190287934,1.0509039442252765e-19,non-VCM,1.3847204912144821e-18,True,-11.953996744398967,11.953996744398967
species_Maianthemum stellatum,98,5,93,5.1020408163265305,0.35335689045936397,1.3574660633484164,0.26030624263839813,0.0006654659990417747,non-VCM,0.0010647455984668396,True,-12.016275176898729,12.016275176898729
species_Draperia systyla,79,4,75,5.063291139240507,0.2826855123674912,1.0947306962487227,0.25822379269729095,0.002450400307176364,non-VCM,0.0037087139784290914,True,-12.055024853984753,12.055024853984753
